Date,Close,Eps,FedFundsRate
2021-07-02,4352.34,207.72,0.08
2021-07-06,4343.54,207.72,0.08
2021-07-07,4358.13,207.72,0.08
2021-07-08,4320.82,207.72,0.08
2021-07-09,4369.55,207.72,0.08
2021-07-12,4384.63,207.72,0.08
2021-07-13,4369.21,207.72,0.08
2021-07-14,4374.3,207.72,0.08
2021-07-15,4360.03,207.72,0.08
2021-07-16,4327.16,207.72,0.08
2021-07-19,4258.49,207.72,0.08
2021-07-20,4323.06,207.72,0.08
2021-07-21,4358.69,207.72,0.08
2021-07-22,4367.48,207.72,0.08
2021-07-23,4411.79,207.72,0.08
2021-07-26,4422.3,207.72,0.08
2021-07-27,4401.46,207.72,0.08
2021-07-28,4400.64,207.72,0.08
2021-07-29,4419.15,207.72,0.08
2021-07-30,4395.26,207.72,0.08
2021-08-02,4387.16,215.18,0.08
2021-08-03,4423.15,215.18,0.08
2021-08-04,4402.66,215.18,0.08
2021-08-05,4429.1,215.18,0.08
2021-08-06,4436.52,215.18,0.08
2021-08-09,4432.35,215.18,0.08
2021-08-10,4436.75,215.18,0.08
2021-08-11,4442.41,215.18,0.08
2021-08-12,4460.83,215.18,0.08
2021-08-13,4468.0,215.18,0.08
2021-08-16,4479.71,215.18,0.08
2021-08-17,4448.08,215.18,0.08
2021-08-18,4400.27,215.18,0.08
2021-08-19,4405.8,215.18,0.08
2021-08-20,4441.67,215.18,0.08
2021-08-23,4479.53,215.18,0.08
2021-08-24,4486.23,215.18,0.08
2021-08-25,4496.19,215.18,0.08
2021-08-26,4470.0,215.18,0.08
2021-08-27,4509.37,215.18,0.08
2021-08-30,4528.79,215.18,0.08
2021-08-31,4522.68,215.18,0.08
2021-09-01,4524.09,222.97,0.08
2021-09-02,4536.95,222.97,0.08
2021-09-03,4535.43,222.97,0.08
2021-09-07,4520.03,222.97,0.08
2021-09-08,4514.07,222.97,0.08
2021-09-09,4493.28,222.97,0.08
2021-09-10,4458.58,222.97,0.08
2021-09-13,4468.73,222.97,0.08
2021-09-14,4443.05,222.97,0.08
2021-09-15,4480.7,222.97,0.08
2021-09-16,4473.75,222.97,0.08
2021-09-17,4432.99,222.97,0.08
2021-09-20,4357.73,222.97,0.08
2021-09-21,4354.19,222.97,0.08
2021-09-22,4395.64,222.97,0.08
2021-09-23,4448.98,222.97,0.08
2021-09-24,4455.48,222.97,0.08
2021-09-27,4443.11,222.97,0.08
2021-09-28,4352.63,222.97,0.08
2021-09-29,4359.46,222.97,0.08
2021-09-30,4307.54,222.97,0.08
2021-10-01,4357.04,221.13,0.08
2021-10-04,4300.46,221.13,0.08
2021-10-05,4345.72,221.13,0.08
2021-10-06,4363.55,221.13,0.08
2021-10-07,4399.76,221.13,0.08
2021-10-08,4391.34,221.13,0.08
2021-10-11,4361.19,221.13,0.08
2021-10-12,4350.65,221.13,0.08
2021-10-13,4363.8,221.13,0.08
2021-10-14,4438.26,221.13,0.08
2021-10-15,4471.37,221.13,0.08
2021-10-18,4486.46,221.13,0.08
2021-10-19,4519.63,221.13,0.08
2021-10-20,4536.19,221.13,0.08
2021-10-21,4549.78,221.13,0.08
2021-10-22,4544.9,221.13,0.08
2021-10-25,4566.48,221.13,0.08
2021-10-26,4574.79,221.13,0.08
2021-10-27,4551.68,221.13,0.08
2021-10-28,4596.42,221.13,0.08
2021-10-29,4605.38,221.13,0.08
2021-11-01,4613.67,219.14,0.08
2021-11-02,4630.65,219.14,0.08
2021-11-03,4660.57,219.14,0.08
2021-11-04,4680.06,219.14,0.08
2021-11-05,4697.53,219.14,0.08
2021-11-08,4701.7,219.14,0.08
2021-11-09,4685.25,219.14,0.08
2021-11-10,4646.71,219.14,0.08
2021-11-11,4649.27,219.14,0.08
2021-11-12,4682.85,219.14,0.08
2021-11-15,4682.8,219.14,0.08
2021-11-16,4700.9,219.14,0.08
2021-11-17,4688.67,219.14,0.08
2021-11-18,4704.54,219.14,0.08
2021-11-19,4697.96,219.14,0.08
2021-11-22,4682.94,219.14,0.08
2021-11-23,4690.7,219.14,0.08
2021-11-24,4701.46,219.14,0.08
2021-11-26,4594.62,219.14,0.08
2021-11-29,4655.27,219.14,0.08
2021-11-30,4567.0,219.14,0.08
2021-12-01,4513.04,216.27,0.2
2021-12-02,4577.1,216.27,0.2
2021-12-03,4538.43,216.27,0.2
2021-12-06,4591.67,216.27,0.2
2021-12-07,4686.75,216.27,0.2
2021-12-08,4701.21,216.27,0.2
2021-12-09,4667.45,216.27,0.2
2021-12-10,4712.02,216.27,0.2
2021-12-13,4668.97,216.27,0.2
2021-12-14,4634.09,216.27,0.2
2021-12-15,4709.85,216.27,0.2
2021-12-16,4668.67,216.27,0.2
2021-12-17,4620.64,216.27,0.2
2021-12-20,4568.02,216.27,0.2
2021-12-21,4649.23,216.27,0.2
